,HSNS1,HSNS2,HSNS3,HSNS4,HSNS5,HSNS6,HSNS7,HSNS8,HSNS9,HSNS10,DDP1,DDP2,DDP3,DDP4,DDN1,DDN2,DDN3,DDN4,DDM1,DDM2,DDM3,DDM4,age,gender,accuracy,country,HSNScale
0,2,4,5,1,4,5,4,3,3,2,1,1,4,4,2,1,1,1,1,2,2,1,37,2,98,PT,0.62
1,4,2,2,4,3,4,4,5,4,3,4,4,2,4,3,2,2,3,4,4,4,3,34,3,95,PL,0.64
2,5,5,5,4,2,5,5,4,4,2,2,2,2,4,4,2,4,3,3,4,4,2,22,2,80,AU,0.78
3,4,1,2,2,4,5,2,2,5,2,4,2,4,0,5,5,4,1,4,2,3,4,24,1,99,US,0.54
4,5,3,4,5,5,5,4,5,4,3,4,3,4,4,4,2,5,2,4,4,1,5,21,2,90,US,0.8
5,4,2,2,3,1,2,4,2,4,1,1,2,1,4,4,4,3,1,2,4,2,1,26,2,95,US,0.48
6,4,4,4,2,3,3,4,3,4,2,3,2,3,3,4,4,2,3,4,4,4,1,35,2,60,US,0.62
7,4,1,4,4,5,5,3,4,1,4,5,1,5,4,4,4,1,1,3,3,1,1,20,1,60,US,0.62
8,4,3,3,2,3,4,3,3,4,3,2,2,3,2,3,4,3,2,2,2,3,1,46,1,85,DE,0.58
9,4,2,2,1,2,4,2,2,3,3,2,1,4,4,4,2,2,1,2,4,4,2,23,1,100,US,0.44
10,5,5,4,3,0,5,5,5,5,5,4,5,5,5,1,1,3,3,5,5,1,4,20,1,80,US,0.74
11,5,2,5,5,5,5,3,5,5,1,5,4,5,5,5,5,5,5,5,5,4,5,17,1,100,KR,0.8
12,5,5,5,5,4,5,5,5,5,2,5,4,5,4,5,5,5,5,5,5,4,4,17,1,95,US,0.88
13,2,2,4,3,4,5,3,4,3,4,4,3,4,5,1,1,1,4,4,4,4,3,15,2,98,US,0.6
14,5,1,2,4,5,5,3,4,4,5,5,2,3,4,5,2,5,3,3,3,3,4,19,1,88,ZA,0.66
15,3,1,4,1,3,3,2,5,4,4,4,4,5,5,1,1,1,1,1,1,1,1,16,1,100,US,0.52
16,2,2,3,3,3,4,2,2,2,2,3,3,4,4,4,2,3,2,4,4,2,2,15,2,70,US,0.46
17,5,5,5,1,5,5,5,5,5,5,1,1,5,1,1,1,1,1,1,1,1,1,53,1,6,US,0.82
18,4,4,2,4,4,4,4,5,5,4,3,4,4,4,5,5,4,4,4,4,4,4,21,1,100,NZ,0.72
19,4,5,5,2,2,4,4,1,4,1,1,1,1,2,2,2,1,1,1,1,2,1,23,1,85,AU,0.62
20,4,2,4,2,4,5,2,2,4,2,2,3,4,4,3,3,2,2,4,4,4,4,21,2,70,RO,0.58
21,4,3,3,3,4,4,4,3,4,3,4,1,4,4,2,2,2,2,1,3,2,2,30,1,75,US,0.64
22,2,1,1,3,4,5,2,2,4,4,4,5,4,4,4,4,4,4,4,5,4,4,21,1,85,US,0.48
23,2,3,3,2,1,5,2,1,2,1,1,1,2,2,5,4,1,1,4,4,4,2,19,1,95,US,0.42
24,4,2,5,1,1,1,4,5,2,1,2,1,1,2,4,4,1,2,3,4,2,1,23,2,87,US,0.5
25,2,1,2,1,3,2,2,2,4,1,1,2,3,2,4,3,3,2,2,2,4,1,27,1,95,US,0.38
26,1,4,2,3,5,4,4,4,3,5,4,3,4,4,4,2,3,3,3,5,3,3,16,1,90,CA,0.6
27,4,4,4,2,2,4,4,2,4,1,2,1,2,5,5,4,4,2,4,4,2,3,17,1,78,GB,0.6
28,5,2,4,4,4,5,3,0,4,3,5,4,4,4,4,5,3,4,4,4,4,4,34,1,90,GR,0.62
29,5,4,4,5,4,5,4,5,4,5,2,4,4,4,4,4,3,4,2,2,4,4,32,1,100,US,0.8
30,4,4,4,4,3,2,4,4,4,4,3,2,5,5,5,4,4,4,4,5,3,3,16,1,95,US,0.66
31,4,3,4,3,4,4,4,3,4,3,2,3,3,4,5,4,4,4,3,1,4,3,29,1,100,US,0.66
32,4,2,2,1,4,4,2,2,4,2,1,1,2,2,3,2,4,2,1,5,2,2,56,1,8,US,0.5
33,4,5,5,2,4,4,5,5,5,4,4,4,4,5,5,4,5,4,5,5,5,4,32,1,98,CA,0.78
34,3,3,3,3,4,4,3,2,3,3,2,2,2,4,4,3,3,2,2,4,1,3,35,2,80,AU,0.56
35,5,2,3,4,4,5,4,4,5,5,3,1,4,4,5,3,4,2,3,3,4,3,28,2,97,CA,0.72
36,3,3,1,5,5,5,4,2,4,5,5,5,5,5,5,5,3,3,5,5,4,4,15,1,92,US,0.64
37,4,4,5,3,4,4,4,3,5,2,1,1,1,4,4,1,1,1,2,1,1,1,28,1,90,US,0.72
38,3,1,4,5,5,4,3,5,4,4,5,4,4,5,2,1,2,4,5,5,5,4,18,1,100,AU,0.68
39,4,4,2,4,4,3,4,4,4,3,2,2,4,5,4,4,4,1,2,4,4,2,34,1,70,RS,0.66
40,4,4,4,2,4,5,5,4,3,4,4,4,2,5,4,3,3,3,4,4,4,4,33,1,90,GB,0.7
41,2,3,2,1,1,1,3,2,2,2,1,1,1,1,1,2,1,2,1,1,1,1,19,1,95,IN,0.34
42,5,3,3,5,5,5,3,4,4,4,5,5,5,4,5,3,5,3,5,5,5,5,19,1,95,IN,0.74
