,HSNS1,HSNS2,HSNS3,HSNS4,HSNS5,HSNS6,HSNS7,HSNS8,HSNS9,HSNS10,DDP1,DDP2,DDP3,DDP4,DDN1,DDN2,DDN3,DDN4,DDM1,DDM2,DDM3,DDM4,age,gender,accuracy,HSNScale,US/OTHER
0,2,4,5,1,4,5,4,3,3,2,1,1,4,4,2,1,1,1,1,2,2,1,37,2,98,0.62,1
1,4,2,2,4,3,4,4,5,4,3,4,4,2,4,3,2,2,3,4,4,4,3,34,3,95,0.64,1
2,5,5,5,4,2,5,5,4,4,2,2,2,2,4,4,2,4,3,3,4,4,2,22,2,80,0.78,1
4,5,3,4,5,5,5,4,5,4,3,4,3,4,4,4,2,5,2,4,4,1,5,21,2,90,0.8,0
5,4,2,2,3,1,2,4,2,4,1,1,2,1,4,4,4,3,1,2,4,2,1,26,2,95,0.48,0
6,4,4,4,2,3,3,4,3,4,2,3,2,3,3,4,4,2,3,4,4,4,1,35,2,60,0.62,0
7,4,1,4,4,5,5,3,4,1,4,5,1,5,4,4,4,1,1,3,3,1,1,20,1,60,0.62,0
8,4,3,3,2,3,4,3,3,4,3,2,2,3,2,3,4,3,2,2,2,3,1,46,1,85,0.58,1
9,4,2,2,1,2,4,2,2,3,3,2,1,4,4,4,2,2,1,2,4,4,2,23,1,100,0.44,0
11,5,2,5,5,5,5,3,5,5,1,5,4,5,5,5,5,5,5,5,5,4,5,17,1,100,0.8,1
12,5,5,5,5,4,5,5,5,5,2,5,4,5,4,5,5,5,5,5,5,4,4,17,1,95,0.88,0
13,2,2,4,3,4,5,3,4,3,4,4,3,4,5,1,1,1,4,4,4,4,3,15,2,98,0.6,0
14,5,1,2,4,5,5,3,4,4,5,5,2,3,4,5,2,5,3,3,3,3,4,19,1,88,0.66,1
15,3,1,4,1,3,3,2,5,4,4,4,4,5,5,1,1,1,1,1,1,1,1,16,1,100,0.52,0
16,2,2,3,3,3,4,2,2,2,2,3,3,4,4,4,2,3,2,4,4,2,2,15,2,70,0.46,0
17,5,5,5,1,5,5,5,5,5,5,1,1,5,1,1,1,1,1,1,1,1,1,53,1,6,0.82,0
18,4,4,2,4,4,4,4,5,5,4,3,4,4,4,5,5,4,4,4,4,4,4,21,1,100,0.72,1
19,4,5,5,2,2,4,4,1,4,1,1,1,1,2,2,2,1,1,1,1,2,1,23,1,85,0.62,1
20,4,2,4,2,4,5,2,2,4,2,2,3,4,4,3,3,2,2,4,4,4,4,21,2,70,0.58,1
21,4,3,3,3,4,4,4,3,4,3,4,1,4,4,2,2,2,2,1,3,2,2,30,1,75,0.64,0
22,2,1,1,3,4,5,2,2,4,4,4,5,4,4,4,4,4,4,4,5,4,4,21,1,85,0.48,0
23,2,3,3,2,1,5,2,1,2,1,1,1,2,2,5,4,1,1,4,4,4,2,19,1,95,0.42,0
24,4,2,5,1,1,1,4,5,2,1,2,1,1,2,4,4,1,2,3,4,2,1,23,2,87,0.5,0
25,2,1,2,1,3,2,2,2,4,1,1,2,3,2,4,3,3,2,2,2,4,1,27,1,95,0.38,0
26,1,4,2,3,5,4,4,4,3,5,4,3,4,4,4,2,3,3,3,5,3,3,16,1,90,0.6,1
27,4,4,4,2,2,4,4,2,4,1,2,1,2,5,5,4,4,2,4,4,2,3,17,1,78,0.6,1
29,5,4,4,5,4,5,4,5,4,5,2,4,4,4,4,4,3,4,2,2,4,4,32,1,100,0.8,0
30,4,4,4,4,3,2,4,4,4,4,3,2,5,5,5,4,4,4,4,5,3,3,16,1,95,0.66,0
31,4,3,4,3,4,4,4,3,4,3,2,3,3,4,5,4,4,4,3,1,4,3,29,1,100,0.66,0
32,4,2,2,1,4,4,2,2,4,2,1,1,2,2,3,2,4,2,1,5,2,2,56,1,8,0.5,0
33,4,5,5,2,4,4,5,5,5,4,4,4,4,5,5,4,5,4,5,5,5,4,32,1,98,0.78,1
34,3,3,3,3,4,4,3,2,3,3,2,2,2,4,4,3,3,2,2,4,1,3,35,2,80,0.56,1
35,5,2,3,4,4,5,4,4,5,5,3,1,4,4,5,3,4,2,3,3,4,3,28,2,97,0.72,1
36,3,3,1,5,5,5,4,2,4,5,5,5,5,5,5,5,3,3,5,5,4,4,15,1,92,0.64,0
37,4,4,5,3,4,4,4,3,5,2,1,1,1,4,4,1,1,1,2,1,1,1,28,1,90,0.72,0
38,3,1,4,5,5,4,3,5,4,4,5,4,4,5,2,1,2,4,5,5,5,4,18,1,100,0.68,1
39,4,4,2,4,4,3,4,4,4,3,2,2,4,5,4,4,4,1,2,4,4,2,34,1,70,0.66,1
40,4,4,4,2,4,5,5,4,3,4,4,4,2,5,4,3,3,3,4,4,4,4,33,1,90,0.7,1
41,2,3,2,1,1,1,3,2,2,2,1,1,1,1,1,2,1,2,1,1,1,1,19,1,95,0.34,1
42,5,3,3,5,5,5,3,4,4,4,5,5,5,4,5,3,5,3,5,5,5,5,19,1,95,0.74,1
43,5,2,4,4,5,5,4,5,5,5,5,5,5,5,4,3,4,4,5,5,5,4,21,1,90,0.78,0
44,5,5,5,5,5,3,5,5,4,2,3,5,3,5,5,4,3,4,5,5,4,5,22,2,86,0.84,1
45,5,1,1,5,5,5,4,5,3,5,5,5,5,4,4,4,5,4,5,5,5,5,27,1,100,0.68,0
46,3,3,4,4,2,3,2,2,4,2,1,1,1,4,2,2,1,1,1,1,1,1,22,2,90,0.54,0
47,5,5,5,5,3,5,5,5,4,2,3,2,3,5,5,5,5,5,5,5,3,4,26,2,80,0.84,1
48,3,5,1,3,5,5,5,3,5,1,3,1,5,5,5,3,4,3,3,3,5,1,32,2,95,0.7,1
49,5,1,1,2,1,5,1,5,1,1,5,2,5,5,4,3,4,1,5,4,2,4,19,1,95,0.44,1
50,2,1,4,5,4,5,2,4,5,2,5,5,5,5,5,5,5,4,4,4,5,4,19,1,80,0.64,0
51,2,2,4,3,3,4,3,1,5,1,1,1,1,4,4,4,3,1,2,3,2,1,18,2,93,0.54,0
52,5,2,4,5,5,5,4,5,5,5,5,5,5,5,3,1,5,5,5,5,5,5,30,1,100,0.8,0
53,3,3,1,3,2,4,3,3,4,1,3,2,3,5,4,5,3,2,3,4,2,2,22,1,80,0.52,1
54,5,3,4,2,2,5,4,1,5,2,4,3,3,5,5,4,5,4,3,3,4,3,19,1,70,0.62,0
56,1,1,3,1,2,1,3,4,1,2,1,1,1,4,3,4,1,1,1,1,1,1,59,1,95,0.34,0
57,2,5,5,2,3,4,5,4,5,2,2,3,3,4,2,1,2,1,3,4,3,2,17,2,100,0.7,0
58,3,4,4,2,3,4,3,2,2,2,2,2,2,3,3,3,3,2,2,2,2,2,21,1,100,0.54,1
59,2,4,4,3,4,5,4,2,3,4,1,1,1,5,2,1,1,1,2,3,3,1,21,2,90,0.62,1
60,4,4,4,5,2,4,4,4,5,1,3,4,3,4,4,4,2,4,2,4,4,3,16,2,90,0.72,1
61,1,2,1,1,2,2,2,1,4,1,1,1,1,2,4,4,2,1,1,1,1,1,51,1,100,0.32,0
62,4,2,2,2,4,4,3,3,4,2,2,2,3,3,4,4,4,3,3,4,2,3,39,1,100,0.56,0
63,4,2,2,2,4,3,2,4,4,2,2,2,3,4,3,3,3,2,2,2,2,1,41,1,90,0.54,1
64,3,2,3,5,5,4,4,4,5,4,4,3,3,3,3,3,3,1,2,4,4,3,22,1,80,0.7,0
65,2,2,2,4,3,3,3,1,1,4,4,4,3,4,4,3,4,1,3,5,4,1,51,2,100,0.42,0
66,4,2,4,2,2,4,4,5,3,2,2,1,4,5,3,3,2,2,2,2,2,2,44,2,80,0.6,0
67,5,5,5,3,5,5,4,5,5,5,5,5,2,5,4,4,2,3,5,5,5,5,22,2,100,0.84,0
68,5,4,5,5,3,5,5,5,5,5,5,5,5,5,5,5,3,4,5,5,5,5,21,1,96,0.84,0
69,5,4,4,3,4,5,4,4,4,3,4,3,5,4,3,4,3,2,1,4,4,2,31,1,80,0.74,0
70,3,3,3,3,4,4,3,4,5,4,4,4,4,4,4,2,2,3,4,4,2,3,27,1,50,0.64,1
71,5,5,5,4,5,5,5,5,5,5,5,2,3,4,5,5,5,5,4,5,5,3,33,1,80,0.88,1
72,3,4,5,3,4,4,5,4,4,2,4,4,5,4,4,4,4,4,4,5,4,4,29,1,90,0.72,1
73,5,5,5,3,5,5,5,5,5,3,3,1,5,5,5,5,5,5,5,5,3,5,27,1,80,0.86,1
74,4,3,2,3,2,4,5,4,5,2,2,2,5,5,5,4,3,3,3,5,1,2,36,1,90,0.64,1
75,4,4,4,1,1,5,4,1,4,2,1,1,3,5,4,4,1,1,1,2,1,1,24,2,85,0.56,0
76,4,2,2,4,2,3,2,2,4,2,2,2,3,3,4,1,3,4,2,4,2,2,19,2,70,0.5,0
77,2,2,2,1,1,2,3,1,2,1,1,1,1,2,4,2,1,1,2,4,2,1,31,2,75,0.32,0
78,5,3,2,2,4,5,4,4,5,4,5,2,5,4,4,3,4,3,5,4,4,3,27,2,85,0.68,0
79,4,4,5,5,2,4,4,1,5,3,1,1,3,1,5,5,4,1,1,4,1,1,18,2,95,0.68,1
80,4,5,5,2,4,5,5,3,5,1,1,2,2,5,5,4,5,4,4,4,5,1,20,2,90,0.76,0
81,5,4,4,3,4,5,2,5,5,4,5,5,5,5,5,4,5,4,4,5,5,4,30,2,95,0.74,0
82,5,5,5,2,2,5,5,2,5,2,4,2,3,5,5,1,1,2,4,4,4,3,19,1,90,0.72,0
83,2,5,2,2,3,4,4,3,3,2,1,2,2,4,5,4,4,3,4,4,4,2,22,1,94,0.56,0
84,5,3,2,4,1,5,4,2,4,1,4,2,4,5,2,2,2,3,2,4,4,2,20,1,85,0.6,0
87,3,2,4,5,1,5,4,2,4,1,4,3,3,4,5,5,5,3,4,5,3,4,17,1,95,0.6,1
88,5,1,3,4,5,5,3,5,5,1,5,5,5,5,5,3,5,5,5,5,3,5,27,1,95,0.72,0
89,4,5,5,5,2,5,1,2,5,3,3,3,2,3,5,1,3,4,1,4,1,1,15,1,95,0.68,1
90,4,3,4,2,3,4,3,4,3,2,4,3,4,4,2,1,2,2,3,4,2,3,24,1,100,0.6,0
91,4,4,5,3,4,4,4,4,5,4,4,3,2,4,4,2,4,4,4,4,2,3,17,2,75,0.74,1
93,5,4,4,2,3,5,4,4,5,3,1,5,4,5,1,1,2,2,3,5,3,1,29,1,85,0.72,0
94,4,3,2,3,4,4,3,4,4,4,3,5,3,4,4,4,3,3,4,4,4,3,40,2,70,0.62,1
97,3,2,2,2,4,3,3,2,3,2,1,2,3,4,4,4,3,2,4,1,4,3,59,1,85,0.48,1
98,5,2,4,4,5,5,3,4,5,4,5,5,4,5,4,3,5,4,4,5,3,4,20,1,90,0.74,0
99,4,4,5,2,3,5,2,2,4,2,2,1,1,5,3,2,2,2,2,1,2,1,37,1,90,0.62,0
100,4,4,2,2,2,3,4,2,3,2,2,1,1,3,3,3,2,3,2,2,2,2,53,2,90,0.52,0
101,1,1,4,3,3,5,1,3,3,3,3,3,3,4,1,1,1,1,4,4,3,4,19,1,90,0.48,0
102,5,5,5,5,4,5,5,4,5,4,3,3,3,5,4,4,3,4,3,4,4,2,37,2,90,0.86,1
103,5,2,4,5,5,4,3,4,5,4,4,5,4,5,5,4,4,4,4,4,4,4,20,1,95,0.74,0
104,2,1,2,2,4,3,3,3,2,4,4,2,4,5,2,1,3,1,2,4,2,1,21,1,90,0.44,0
105,5,5,5,4,5,5,5,5,5,3,5,5,2,5,5,5,3,5,4,5,3,4,37,1,95,0.88,1
106,4,2,4,2,4,4,3,4,2,2,2,1,4,4,4,3,3,2,2,4,2,2,23,2,95,0.58,0
107,5,5,5,5,5,5,5,5,5,3,4,1,4,5,5,5,5,3,4,4,3,1,18,2,70,0.9,0
108,2,2,3,1,2,3,4,2,4,1,1,1,2,3,4,3,2,4,2,4,2,2,19,2,83,0.46,0
110,2,4,3,2,3,3,4,2,4,2,1,2,2,3,4,3,2,2,4,4,4,2,24,2,100,0.54,0
112,5,1,3,4,5,4,3,4,5,3,5,4,4,4,4,4,3,4,4,4,4,4,34,1,90,0.68,1
113,4,1,1,5,5,5,3,4,3,5,3,5,4,5,2,2,3,3,4,5,4,2,37,2,100,0.62,0
114,4,2,3,1,4,4,3,2,4,3,4,3,3,4,2,4,2,4,3,4,4,1,49,2,60,0.54,0
115,5,5,5,3,3,2,4,5,3,2,1,3,2,5,5,3,5,1,3,5,5,3,48,1,100,0.7,0
116,5,5,4,4,5,5,4,4,5,4,3,3,2,4,4,5,2,3,4,5,4,2,28,2,85,0.82,0
117,5,5,5,1,2,4,5,5,5,1,1,2,1,4,3,5,1,1,2,2,1,1,43,2,90,0.74,0
118,3,3,4,3,2,4,4,3,4,3,3,3,3,3,5,4,4,4,4,4,4,2,17,2,75,0.6,0
119,5,4,5,5,2,5,4,4,5,1,5,4,3,5,5,5,4,4,5,5,4,4,16,2,100,0.78,0
120,4,4,4,3,3,4,4,3,4,2,2,2,3,4,5,4,4,2,2,3,2,2,19,2,90,0.66,0
121,4,3,5,5,4,5,4,3,3,2,2,1,4,4,5,3,4,1,4,4,1,3,23,1,80,0.72,1
122,5,2,3,4,4,4,4,5,5,5,3,3,4,2,4,3,3,2,4,5,4,3,15,2,97,0.72,1
124,3,4,4,2,3,5,5,5,1,3,5,4,5,5,2,2,1,2,4,5,3,4,18,2,97,0.64,0
126,5,2,3,2,3,3,3,4,4,4,4,3,4,4,4,4,4,3,4,3,4,3,22,1,85,0.58,1
127,4,1,1,4,2,4,2,4,5,3,1,1,4,5,4,3,3,2,3,1,4,1,33,2,60,0.54,1
128,3,1,5,4,5,5,1,5,3,5,5,5,5,4,3,4,4,3,5,5,3,5,19,1,100,0.64,1
129,5,5,5,4,3,4,4,3,5,2,1,1,2,4,5,5,3,3,4,3,2,2,22,2,20,0.76,1
130,4,4,2,4,4,4,4,1,2,4,4,2,4,5,4,3,3,2,3,4,2,2,26,2,90,0.58,0
131,2,5,3,2,3,4,4,2,4,1,3,2,3,4,1,1,1,2,2,2,1,2,35,1,100,0.58,0
132,5,4,1,4,5,5,4,4,4,5,4,3,4,5,2,2,2,2,3,2,2,2,22,1,80,0.72,1
133,5,3,2,5,5,3,2,5,4,5,5,5,4,4,5,5,4,4,5,5,5,5,20,2,100,0.68,0
134,5,5,5,2,4,5,5,5,5,4,4,1,5,5,5,2,1,2,3,5,4,4,18,1,85,0.82,1
135,4,3,5,3,4,4,5,4,3,1,4,5,5,5,3,4,3,4,3,5,3,2,17,1,70,0.7,1
136,4,3,4,1,3,5,4,4,2,3,3,3,3,2,4,4,3,2,4,4,3,2,23,2,86,0.6,1
137,4,2,4,2,2,4,4,2,4,4,5,4,5,5,4,4,2,2,2,4,4,2,24,1,95,0.56,0
139,5,1,3,4,5,5,3,5,5,5,4,4,4,5,5,3,5,1,2,5,5,1,23,1,92,0.72,0
140,3,3,4,3,4,4,5,3,5,2,2,3,3,1,4,3,4,2,3,4,3,3,23,2,80,0.68,1
142,5,4,5,4,5,4,2,5,5,4,4,5,4,5,5,4,5,4,4,4,5,4,15,1,95,0.78,1
143,3,2,4,2,2,5,3,2,2,3,5,2,4,5,4,4,3,1,2,5,3,3,15,2,80,0.5,0
144,5,5,5,2,3,5,5,5,5,4,1,2,3,5,1,1,4,3,4,4,2,3,14,1,75,0.8,1
145,4,4,4,2,3,4,4,2,4,1,1,2,2,3,3,1,1,2,2,3,1,1,23,2,80,0.62,0
146,4,5,5,4,4,4,5,4,5,3,4,4,4,4,5,5,2,4,3,4,3,2,31,2,89,0.8,0
147,3,2,4,4,5,4,3,4,4,2,4,5,4,5,4,4,4,4,5,5,5,4,27,1,90,0.66,1
148,1,5,1,1,2,3,5,5,4,1,2,4,4,2,4,4,1,4,5,5,5,3,35,2,90,0.54,0
149,5,4,2,4,4,5,3,2,5,1,4,1,1,5,5,2,4,2,4,4,4,4,26,1,85,0.68,0
150,2,1,5,2,3,4,2,2,4,2,1,2,1,4,3,1,1,2,3,4,1,2,20,2,100,0.5,0
151,4,4,2,2,2,4,4,4,4,4,2,2,2,5,4,4,1,3,5,4,2,3,25,1,80,0.6,1
152,5,3,3,2,4,5,4,5,5,3,4,2,4,5,3,4,4,3,4,2,5,4,34,2,70,0.72,1
153,4,4,4,4,2,4,3,3,4,1,2,1,4,4,4,4,1,3,2,1,2,2,28,2,80,0.64,1
154,4,5,5,5,4,5,3,4,5,2,4,4,3,5,5,4,4,4,2,2,2,2,17,2,100,0.8,1
155,5,4,4,1,3,3,3,3,1,1,1,1,1,4,1,1,1,1,1,1,3,1,29,2,90,0.54,1
156,5,5,4,3,2,4,5,3,4,2,2,2,2,3,4,3,3,2,2,4,2,2,36,2,50,0.7,1
157,2,3,3,3,2,4,4,2,5,1,2,1,2,4,3,2,2,2,2,3,2,2,20,2,100,0.56,0
158,4,1,4,2,1,5,2,1,2,3,4,1,5,5,4,4,5,4,5,5,5,4,20,1,100,0.44,0
159,4,3,2,3,4,5,2,3,4,2,3,2,4,4,4,4,3,2,2,3,2,2,25,1,70,0.6,0
160,4,1,1,2,5,4,3,2,2,3,4,3,4,4,2,2,2,1,4,4,4,4,22,1,100,0.48,0
161,4,4,5,2,3,4,3,4,4,2,1,1,3,4,2,2,2,3,1,1,2,1,51,2,92,0.66,1
162,1,2,2,1,1,1,4,1,1,1,1,1,2,4,3,4,1,1,1,4,3,1,20,1,75,0.28,0
163,5,5,3,5,5,5,5,5,5,4,4,4,5,5,4,3,5,5,5,5,5,5,20,2,95,0.86,1
164,3,3,3,2,5,4,3,2,4,1,3,1,4,3,3,3,3,3,3,2,3,2,52,1,90,0.58,1
165,3,2,2,1,3,4,2,4,1,2,4,4,4,4,1,1,1,2,3,4,2,2,57,1,70,0.44,1
166,5,4,2,3,3,4,2,1,4,1,4,4,4,5,4,3,4,3,5,5,4,4,15,2,75,0.56,1
167,5,5,3,5,5,5,4,5,5,3,4,4,4,5,5,4,3,5,4,4,5,4,55,1,100,0.84,1
168,4,5,4,2,2,4,5,2,4,2,1,2,2,2,4,4,2,2,4,4,4,2,15,2,90,0.64,0
169,5,2,5,3,5,5,2,2,5,4,5,4,5,5,2,3,4,4,5,4,3,3,15,1,85,0.68,1
170,4,5,4,5,3,3,4,3,4,2,3,3,2,5,5,4,4,4,1,5,3,3,20,2,75,0.7,0
171,3,2,4,3,3,5,4,3,4,2,4,2,4,4,4,2,2,2,4,4,1,3,19,1,90,0.62,0
172,4,3,4,4,2,2,4,4,5,3,4,2,4,4,5,4,5,4,4,5,4,4,15,1,100,0.64,0
173,1,3,5,3,1,5,5,1,4,1,1,1,2,3,5,5,1,3,3,4,5,1,32,2,50,0.56,0
174,5,3,1,1,5,5,1,5,1,2,3,5,2,2,5,5,5,3,5,5,5,5,28,1,85,0.54,0
176,5,2,5,3,3,1,3,4,5,2,1,3,4,4,4,4,5,4,5,4,5,5,21,1,90,0.62,1
177,3,2,2,2,2,5,3,3,4,2,1,1,2,2,4,3,3,2,1,1,2,2,19,1,100,0.52,0
178,2,3,2,2,4,4,3,2,4,2,1,1,1,1,3,3,1,1,2,1,1,1,25,1,95,0.52,1
